profile,test_accuracy,accuracy_drop_pp,model_size_mb,model_compression_ratio,avg_huffman_bits_per_weight,huffman_stream_mb,codebook_mb,huffman_metadata_mb,fp32_exception_mb
conservative,90.47,4.640000000000001,1.667757272720337,5.116011094081684,5.739489049106494,1.5069924592971802,0.0208740234375,0.009725689888000488,0.13016510009765625
balanced,79.13,15.980000000000004,1.3780300617218018,6.191639026228413,4.695383553682987,1.2328462600708008,0.01043701171875,0.0045816898345947266,0.13016510009765625
aggressive,47.52,47.589999999999996,1.0889581441879272,7.835254968257254,3.6236465748946682,0.9514449834823608,0.005218505859375,0.0021295547485351562,0.13016510009765625
