weight_bits,activation_bits,prune_ratio,student_width,student_fp32_accuracy,compressed_accuracy,accuracy_drop_vs_student_pp,accuracy_drop_vs_teacher_pp,student_params,student_fp32_mb,compressed_student_mb,student_internal_cr,overall_cr_vs_original,activation_cr,activation_original_mb,activation_compressed_mb,requested_prune_ratio,actual_pruning_sparsity,final_zero_fraction,weight_values_mb,mask_mb,scale_mb,fp32_exception_mb
8,8,0.0,0.35,90.62,90.21,0.4100000000000108,4.900000000000006,408938,1.5599746704101562,0.4571990966796875,3.412024830624437,18.66203317424824,3.999987400814846,256.7509765625,64.18794631958008,0.0,0.0,0.02093717075938084,0.376556396484375,0.0,0.02689361572265625,0.05374908447265625
8,8,0.1,0.35,90.62,90.2,0.4200000000000017,4.909999999999997,408938,1.5599746704101562,0.4665679931640625,3.3435098276482322,18.287291101154462,3.999987400814846,256.7509765625,64.18794631958008,0.1,0.099997973903882,0.10011953967096199,0.3388557434082031,0.047069549560546875,0.02689361572265625,0.05374908447265625
8,8,0.2,0.35,90.62,90.28,0.3400000000000034,4.829999999999998,408938,1.5599746704101562,0.4289579391479492,3.6366611456330107,19.8906790871397,3.999987400814846,256.7509765625,64.18794631958008,0.2,0.1999984804279115,0.19999848042791146,0.30124568939208984,0.047069549560546875,0.02689361572265625,0.05374908447265625
7,8,0.0,0.35,90.62,90.36,0.2600000000000051,4.75,408938,1.5599746704101562,0.4101295471191406,3.803614446625059,20.803828374243114,3.999987400814846,256.7509765625,64.18794631958008,0.0,0.0,0.04112215333495417,0.3294868469238281,0.0,0.02689361572265625,0.05374908447265625
7,8,0.1,0.35,90.62,90.28,0.3400000000000034,4.829999999999998,408938,1.5599746704101562,0.4231429100036621,3.6866378557463135,20.164026166476035,3.999987400814846,256.7509765625,64.18794631958008,0.1,0.099997973903882,0.10336129345976175,0.29543066024780273,0.047069549560546875,0.02689361572265625,0.05374908447265625
7,8,0.2,0.35,90.62,90.39,0.23000000000000398,4.719999999999999,408938,1.5599746704101562,0.39126884937286377,3.98696362593272,21.806654741741898,3.999987400814846,256.7509765625,64.18794631958008,0.2,0.1999984804279115,0.20009978523381144,0.2635565996170044,0.047069549560546875,0.02689361572265625,0.05374908447265625
6,8,0.0,0.35,90.62,90.36,0.2600000000000051,4.75,408938,1.5599746704101562,0.36305999755859375,4.296740706495472,23.500977157627084,3.999987400814846,256.7509765625,64.18794631958008,0.0,0.0,0.07699418510414135,0.28241729736328125,0.0,0.02689361572265625,0.05374908447265625
6,8,0.1,0.35,90.62,90.28,0.3400000000000034,4.829999999999998,408938,1.5599746704101562,0.3757150173187256,4.152015752638396,22.70940557649999,3.999987400814846,256.7509765625,64.18794631958008,0.1,0.099997973903882,0.12185701839695273,0.2480027675628662,0.047069549560546875,0.02689361572265625,0.05374908447265625
6,8,0.2,0.35,90.62,90.27,0.3500000000000085,4.840000000000003,408938,1.5599746704101562,0.35251927375793457,4.425218098802021,24.203682875312886,3.999987400814846,256.7509765625,64.18794631958008,0.2,0.1999984804279115,0.20398988978037114,0.2248070240020752,0.047069549560546875,0.02689361572265625,0.05374908447265625
