weight_bits,activation_bits,prune_ratio,baseline_accuracy,test_accuracy,accuracy_drop,test_loss,model_size_mb,original_model_mb,model_compression_ratio,activation_compression_ratio,activation_original_mb,activation_compressed_mb,final_sparsity,weight_value_mb,mask_overhead_mb,scale_overhead_mb,fp32_exception_mb,runtime_seconds
5,7,0.0,95.11,86.53,8.579999999999998,0.6261355516433715,1.5080947875976562,8.532264709472656,5.65764485073532,4.571421516941565,598.9267578125,131.01543045043945,0.1023881301757954,1.3128280639648438,0.0,0.06510162353515625,0.13016510009765625,54.20960211753845
5,7,0.1,95.11,86.22,8.89,0.6479063747406005,1.6195173263549805,8.532264709472656,5.2683997698722225,4.571421516941565,598.9267578125,131.01543045043945,0.11512785122766234,1.1616849899291992,0.26256561279296875,0.06510162353515625,0.13016510009765625,53.27029800415039
5,7,0.2,95.11,86.36,8.75,0.5759815149307251,1.5053672790527344,8.532264709472656,5.667895687783023,4.571421516941565,598.9267578125,131.01543045043945,0.20207758244951335,1.0475349426269531,0.26256561279296875,0.06510162353515625,0.13016510009765625,55.64058232307434
5,7,0.3,95.11,84.83,10.280000000000001,0.5554225179672241,1.3761759996414185,8.532264709472656,6.199980752240887,4.571421516941565,598.9267578125,131.01543045043945,0.30048443629231436,0.9183436632156372,0.26256561279296875,0.06510162353515625,0.13016510009765625,50.928282022476196
5,8,0.0,95.11,88.35,6.760000000000005,0.5364317218780518,1.5080947875976562,8.532264709472656,5.65764485073532,3.9999945989073438,598.9267578125,149.73189163208008,0.1023881301757954,1.3128280639648438,0.0,0.06510162353515625,0.13016510009765625,51.79654574394226
5,8,0.1,95.11,88.3,6.810000000000002,0.547698304271698,1.6195173263549805,8.532264709472656,5.2683997698722225,3.9999945989073438,598.9267578125,149.73189163208008,0.11512785122766234,1.1616849899291992,0.26256561279296875,0.06510162353515625,0.13016510009765625,50.37549376487732
5,8,0.2,95.11,88.54,6.569999999999993,0.4988323392868042,1.5053672790527344,8.532264709472656,5.667895687783023,3.9999945989073438,598.9267578125,149.73189163208008,0.20207758244951335,1.0475349426269531,0.26256561279296875,0.06510162353515625,0.13016510009765625,53.28514099121094
5,8,0.3,95.11,85.71,9.400000000000006,0.5052326168060303,1.3761759996414185,8.532264709472656,6.199980752240887,3.9999945989073438,598.9267578125,149.73189163208008,0.30048443629231436,0.9183436632156372,0.26256561279296875,0.06510162353515625,0.13016510009765625,55.53462505340576
6,7,0.0,95.11,91.19,3.9200000000000017,0.36106879124641417,1.770660400390625,8.532264709472656,4.818690646490064,4.571421516941565,598.9267578125,131.01543045043945,0.050007264274299024,1.5753936767578125,0.0,0.06510162353515625,0.13016510009765625,47.624815940856934
6,7,0.1,95.11,91.16,3.950000000000003,0.3486011672973633,1.87408447265625,8.532264709472656,4.552764207783748,4.571421516941565,598.9267578125,131.01543045043945,0.10101699840185963,1.4162521362304688,0.26256561279296875,0.06510162353515625,0.13016510009765625,56.432061195373535
