activation_bits,test_accuracy,test_loss,accuracy_drop_from_fp32_pp,activation_compression_ratio,activation_original_mb,activation_compressed_mb,average_chosen_percentile
7,92.09,0.31770945320129396,3.019999999999996,4.571421516941565,598.9267578125,131.01543045043945,99.97226415094339
6,88.14,0.4831910875320435,6.969999999999999,5.333323731395155,598.9267578125,112.29896926879883,99.92792452830189
